id,name,artifact_type,category,availability,status,primary_url,description
enterprise-ai-governance-platforms--ibm-watsonx-governance,IBM watsonx.governance,platform,Enterprise AI Governance Platforms,commercial,active,https://www.ibm.com/products/watsonx-governance,"IBM watsonx.governance connects AI inventories, risks, controls, regulatory obligations, evaluations, and lifecycle workflows across machine-learning, generative-AI, and agentic systems in hybrid and multi-vendor environments."
enterprise-ai-governance-platforms--credo-ai,Credo AI,platform,Enterprise AI Governance Platforms,commercial,active,https://credo.ai/,"Credo AI provides AI-system discovery, inventory, risk assessment, policy packs, control mapping, evidence workflows, and governance for models, applications, agents, and third-party AI vendors."
enterprise-ai-governance-platforms--confident-ai,Confident AI,platform,Enterprise AI Governance Platforms,commercial,active,https://www.confident-ai.com/products/ai-governance,Confident AI is an AI quality platform for enterprise platform teams to define one standard across teams; AI governance gates enforce eval and red-team requirements before launch and continuously in production.
enterprise-ai-governance-platforms--holistic-ai,Holistic AI,platform,Enterprise AI Governance Platforms,commercial,active,https://holisticai.com/,"Holistic AI provides enterprise AI discovery, risk and bias testing, continuous monitoring, compliance workflows, and audit evidence for models, applications, and agents."
enterprise-ai-governance-platforms--modelop-center,ModelOp Center,platform,Enterprise AI Governance Platforms,commercial,active,https://www.modelop.com/ai-governance-software,"ModelOp Center is an AI lifecycle management and governance platform with a system of record, role-based workflows, policy controls, integrations, and portfolio reporting for internally built and vendor AI."
enterprise-ai-governance-platforms--onetrust-ai-governance,OneTrust AI Governance,platform,Enterprise AI Governance Platforms,commercial,active,https://www.onetrust.com/solutions/ai-governance/,"OneTrust AI Governance catalogs AI systems, assesses use-case and vendor risk, maps controls to policies and regulations, monitors posture, and records governance decisions within the OneTrust platform."
enterprise-ai-governance-platforms--collibra-ai-command-center,Collibra AI Command Center,platform,Enterprise AI Governance Platforms,commercial,active,https://www.collibra.com/products/ai-command-center,"Collibra AI Command Center combines AI and agent inventory, data lineage, risk assessment, policy workflows, trust signals, evidence management, and compliance reporting across heterogeneous AI platforms."
enterprise-ai-governance-platforms--dataiku-govern,Dataiku Govern,platform,Enterprise AI Governance Platforms,commercial,active,https://www.dataiku.com/product/govern,"Dataiku Govern centralizes AI and analytics initiatives in registries, applies risk qualifications and approval workflows, records audit timelines, and can block deployment until required sign-offs are complete."
enterprise-ai-governance-platforms--datarobot-ai-governance,DataRobot AI Governance,platform,Enterprise AI Governance Platforms,commercial,active,https://www.datarobot.com/product/ai-governance/,"DataRobot AI Governance provides agent and model registries, lineage, approval controls, compliance documentation, runtime moderation, and policy enforcement across cloud, on-premises, edge, and air-gapped deployments."
enterprise-ai-governance-platforms--servicenow-ai-control-tower,ServiceNow AI Control Tower,platform,Enterprise AI Governance Platforms,commercial,active,https://www.servicenow.com/products/ai-control-tower.html,"ServiceNow AI Control Tower discovers and inventories AI assets, manages lifecycle risk and compliance, monitors runtime behavior, and connects governance actions to ServiceNow workflows and configuration data."
enterprise-ai-governance-platforms--sap-leanix-ai-governance,SAP LeanIX AI Governance,platform,Enterprise AI Governance Platforms,commercial,active,https://www.leanix.net/en/use-cases/ai-governance,"SAP LeanIX AI Governance maps AI technologies and agents to applications and business capabilities, tracks ownership, lifecycle, policy status, and risk, and reports the AI estate through enterprise architecture views."
enterprise-ai-governance-platforms--saidot,Saidot,platform,Enterprise AI Governance Platforms,commercial,active,https://www.saidot.ai/product,"Saidot uses a governance knowledge graph to connect systems, models, agents, datasets, risks, controls, policies, and evidence, with inherited requirements and integrations for AI development platforms."
enterprise-ai-governance-platforms--trustible,Trustible,platform,Enterprise AI Governance Platforms,commercial,active,https://trustible.ai/platform-overview/,"Trustible provides AI intake, inventory, risk scoring, vendor review, control mapping, approval workflows, continuous oversight, and audit evidence for governance, legal, risk, and compliance teams."
enterprise-ai-governance-platforms--asenion-formerly-fairly-ai,Asenion (formerly Fairly AI),platform,Enterprise AI Governance Platforms,commercial,active,https://www.fairly.ai/,"Asenion (formerly Fairly AI) is the platform formed after Fairly AI acquired Anch.AI, combining AI governance, risk and compliance workflows with technical testing and assurance across the AI lifecycle."
ai-inventory-model-registry-and-lifecycle-governance--mlflow-model-registry,MLflow Model Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-source,active,https://mlflow.org/docs/latest/ml/model-registry,"MLflow Model Registry provides a centralized model store with versioning, aliases, tags, annotations, experiment lineage, APIs, and a user interface for managing models from development through deployment."
ai-inventory-model-registry-and-lifecycle-governance--kubeflow-hub,Kubeflow Hub,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-source,active,https://www.kubeflow.org/docs/components/hub/overview/,"Kubeflow Hub combines the Kubeflow Model Registry for registering, versioning, and tracking model artifacts with a federated Model Catalog for discovering models from external sources."
ai-inventory-model-registry-and-lifecycle-governance--weights-biases-registry,Weights & Biases Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-core,active,https://docs.wandb.ai/guides/registry/,"Weights & Biases Registry organizes versioned models, datasets, and other artifacts into governed collections with lineage, aliases, metadata, access controls, and lifecycle automation."
ai-inventory-model-registry-and-lifecycle-governance--clearml-model-registry,ClearML Model Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-core,active,https://clear.ml/docs/latest/docs/fundamentals/models/,"ClearML Model Registry records model artifacts, versions, metadata, framework details, task lineage, and publication state as part of ClearML's experiment and deployment lifecycle."
ai-inventory-model-registry-and-lifecycle-governance--dvc-studio-model-registry,DVC Studio Model Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",commercial,active,https://dvc.org/doc/user-guide/data-management/discovering-and-accessing-data,"DVC Studio Model Registry manages model versions, stages, metadata, metrics, and Git-linked lineage while using DVC-tracked artifacts as the underlying versioned model data."
ai-inventory-model-registry-and-lifecycle-governance--hopsworks-model-registry,Hopsworks Model Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-core,active,https://docs.hopsworks.ai/4.6/concepts/mlops/registry/,"Hopsworks Model Registry stores versioned models with schemas, metrics, provenance, and deployment metadata, linking models to feature data and training pipelines in the Hopsworks platform."
ai-inventory-model-registry-and-lifecycle-governance--openmetadata-ml-model-assets,OpenMetadata ML Model Assets,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-source,active,https://docs.open-metadata.org/latest/connectors/ml-model,"OpenMetadata ML Model Assets catalog models, algorithms, features, hyperparameters, lineage, owners, tags, and test results imported from supported machine-learning platforms."
ai-inventory-model-registry-and-lifecycle-governance--datahub-ml-models,DataHub ML Models,model,"AI Inventory, Model Registry, and Lifecycle Governance",open-source,active,https://docs.datahub.com/docs/generated/metamodel/entities/mlmodel/,"DataHub ML Models represent machine-learning models and model groups in DataHub's metadata graph, enabling ownership, lineage, documentation, discovery, and governance relationships with data assets."
ai-inventory-model-registry-and-lifecycle-governance--cloudera-ai-registry,Cloudera AI Registry,model,"AI Inventory, Model Registry, and Lifecycle Governance",commercial,active,https://www.cloudera.com/products/machine-learning.html,"Cloudera AI Registry catalogs, versions, and promotes models with metadata and lineage as part of Cloudera Machine Learning's governed model-development and deployment workflow."
ai-inventory-model-registry-and-lifecycle-governance--sas-model-manager,SAS Model Manager,model,"AI Inventory, Model Registry, and Lifecycle Governance",commercial,active,https://www.sas.com/en_us/software/model-manager.html,"SAS Model Manager provides model registration, versioning, validation, workflow approvals, deployment, performance monitoring, lineage, and reporting for analytical and machine-learning models."
ai-inventory-model-registry-and-lifecycle-governance--atlan-ai-governance,Atlan AI Governance,model,"AI Inventory, Model Registry, and Lifecycle Governance",commercial,active,https://atlan.com/ai-governance/,"Atlan AI Governance catalogs AI use cases, models, prompts, and data dependencies, connects them to ownership and lineage, and applies policy and access workflows through Atlan's metadata platform."
risk-assessment-and-regulatory-compliance--optro-fairnow,Optro / FairNow,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://fairnow.ai/,"Optro / FairNow provides AI inventory, regulatory applicability guidance, risk assessments, bias testing, evidence collection, and compliance workflows; FairNow became part of Optro while its product site remained available."
risk-assessment-and-regulatory-compliance--logicgate-ai-governance,LogicGate AI Governance,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.logicgate.com/solutions/ai-governance/,"LogicGate AI Governance adds AI use-case intake, policy management, risk assessments, approvals, control mapping, and third-party oversight to the LogicGate Risk Cloud GRC platform."
risk-assessment-and-regulatory-compliance--riskonnect-ai-governance,Riskonnect AI Governance,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://riskonnect.com/ai-governance/,"Riskonnect AI Governance maintains AI inventories, risk and compliance assessments, approval workflows, monitoring records, and audit trails within Riskonnect's integrated enterprise risk platform."
risk-assessment-and-regulatory-compliance--archer-ai-governance,Archer AI Governance,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.archerirm.com/ai-governance,"Archer AI Governance provides AI use-case and model inventories, EU AI Act-aligned risk classification, privacy and ethical impact assessments, obligations, controls, workflows, and compliance reporting."
risk-assessment-and-regulatory-compliance--verifywise,VerifyWise,tool,Risk Assessment and Regulatory Compliance,open-core,active,https://verifywise.ai/,"VerifyWise is a self-hostable or managed AI governance platform under the Business Source License 1.1, with inventories, risks, policies, evidence, incidents, evaluations, and multi-framework control mappings."
risk-assessment-and-regulatory-compliance--trail,trail,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.trail-ml.com/ai-governance,"trail provides an AI asset registry, risk classification, control workflows, evidence collection, documentation generation, and governance agents for EU AI Act, ISO/IEC 42001, and organization-specific processes."
risk-assessment-and-regulatory-compliance--enzai,Enzai,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.enz.ai/,"Enzai provides AI inventories, structured intake, policy packs, risk assessments, live compliance scoring, evidence, and requirement-level mappings for the EU AI Act, NIST AI RMF, ISO/IEC 42001, and other regimes."
risk-assessment-and-regulatory-compliance--modulos,Modulos,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.modulos.ai/,"Modulos connects frameworks, requirements, controls, risks, and evidence in a governance graph, supporting AI inventories, cross-framework mappings, assessments, and audit preparation."
risk-assessment-and-regulatory-compliance--regulativ-ai-governor,Regulativ AI Governor,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.regulativ.ai/ai-governor,"Regulativ AI Governor provides an AI asset registry, risk classification, policy packs, continuous monitoring, impact assessments, conformity workflows, and evidence exports for multiple regulatory frameworks."
risk-assessment-and-regulatory-compliance--govern365,Govern365,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://govern365.ai/,"Govern365 provides an AI system registry, framework-specific risk assessments, compliance dashboards, policy and control templates, incident tracking, and audit evidence management."
risk-assessment-and-regulatory-compliance--metricstream-ai-for-grc,MetricStream AI for GRC,tool,Risk Assessment and Regulatory Compliance,commercial,active,https://www.metricstream.com/metricstream-ai-for-grc.htm,"MetricStream AI for GRC provides governed model access, prompt and data controls, audit logging, model observability, evaluation pipelines, and human review within MetricStream's risk and compliance products."
audit-assurance-and-evaluation-evidence--monitaur,Monitaur,tool,"Audit, Assurance, and Evaluation Evidence",commercial,active,https://www.monitaur.ai/platform,"Monitaur combines policy and control management, model validation, production monitoring, decision records, and evidence mapping to support audit-ready assurance across traditional, generative, and agentic AI."
